Time,E_EW (V/km),E_NS (V/km)
67190,-0.023225624,0.083167242
67200,-0.014620993,0.023332557
67210,0.008742272,0.069235284
67220,0.007091642,0.040113784
67230,0.060065404,0.04420153
67240,0.103862402,-0.020760314
67250,0.092003862,-0.018106194
67260,0.099316989,0.014114689
67270,0.05273794,-0.004194231
67280,0.091544989,0.034164011
67290,0.11209052,0.049647464
67300,0.119800749,0.092724205
67310,0.107208519,0.108231474
67320,0.136002204,0.076282708
67330,0.085304632,0.071377756
67340,0.098164941,0.073954854
67350,0.138319829,0.036979923
67360,0.164968095,0.065401858
67370,0.143380123,0.074755431
67380,0.144272175,0.056128269
67390,0.112302041,0.042292979
67400,0.086054353,0.053715247
67410,0.07122328,0.044693701
67420,0.061533613,0.054198474
67430,0.073878025,0.006365866
67440,0.045605676,0.042831638
67450,0.000986594,0.022388006
67460,0.008880901,-0.003169532
67470,0.038678387,0.040080324
67480,0.038488817,0.056973679
67490,0.05298407,0.042804436
67500,0.084897543,0.031813876
67510,0.088247389,0.025982498
67520,0.125326582,0.003038083
67530,0.118196984,0.004413582
67540,0.126261089,-0.010619975
67550,0.137113362,-0.024625382
67560,0.144313401,-0.033515706
67570,0.130685587,-0.001671519
67580,0.119977449,-0.014739853
67590,0.076344351,0.007165368
67600,0.081330115,0.009180527
67610,0.111008773,0.025034341
67620,0.054073991,0.01980154
67630,0.024005859,0.032195696
67640,0.029778188,0.04424185
67650,0.015338844,0.0899674
67660,0.020249853,0.183229872
67670,0.064439448,0.136015601
67680,0.07762505,0.12638415
67690,0.061949997,0.11416739
67700,0.069259819,0.045904275
67710,0.058839007,0.071751402
67720,0.06779016,0.044940935
67730,0.07726852,0.015294992
67740,0.101742937,-0.001856607
67750,0.082074756,-0.013523663
67760,0.044026806,0.016203833
67770,0.018824359,-0.017764397
67780,0.041730725,-0.031660388
67790,0.023050904,-0.055106453
67800,-0.035734626,-0.074934645
67810,-0.078305652,-0.069058376
67820,-0.105178544,-0.06387112
67830,-0.086167559,-0.082123154
67840,-0.051483234,-0.117228535
67850,-0.049402301,-0.14287093
67860,-0.072527981,-0.160100515
67870,-0.070919009,-0.115450634
67880,-0.066906216,-0.041726552
67890,-0.085381961,-0.050272551
67900,-0.101081427,-0.104773796
67910,-0.149627926,-0.065736627
67920,-0.149460404,-0.046552127
67930,-0.201165726,-0.021581251
67940,-0.208293248,-0.001837294
67950,-0.206970356,0.01073284
67960,-0.114055983,0.019754763
67970,-0.042220303,0.045812901
67980,0.056557408,-0.010155964
67990,0.052603367,0.000266268
68000,0.019281688,-0.037866336
68010,0.058981444,-0.034868532
68020,0.096272788,-0.082624688
68030,0.138830457,-0.12401286
68040,0.151821384,-0.129994212
68050,0.120848801,-0.15162636
68060,0.117910809,-0.11355317
68070,0.065310912,-0.062188976
68080,0.119564294,-0.107045971
68090,0.153036101,-0.071790624
68100,0.168195629,-0.053482886
68110,0.160900984,-0.067273069
68120,0.136094871,-0.058839293
68130,0.100595302,-0.087757389
68140,0.096095799,-0.07437323
68150,0.039727786,-0.116130997
68160,0.032313121,-0.115111832
68170,0.03518309,-0.106769179
68180,0.053567839,-0.084682783
68190,0.067172183,-0.106804713
68200,0.074541832,-0.070313968
68210,0.021619619,-0.075073615
68220,-0.020971403,-0.009595206
68230,-0.065391596,-0.011673229
68240,-0.059512281,-0.004948512
68250,-0.031900839,0.006124783
68260,0.02338958,0.032847576
68270,0.024048412,0.054091182
68280,0.035934709,0.049094415
68290,-0.028393694,0.025338694
68300,-0.081759739,-0.028925881
68310,-0.093700789,0.028459691
68320,-0.042209543,0.043254439
68330,-0.022447187,0.081218406
68340,-0.01650631,0.113870531
68350,-0.012272622,0.115432568
68360,0.028994066,0.115371416
68370,0.042277019,0.137389945
68380,-0.068625264,0.137098392
68390,-0.155618181,0.153936992
68400,-0.149042643,0.112553879
68410,-0.157417883,0.135764815
68420,-0.17105115,0.14381351
68430,-0.200864431,0.163703657
68440,-0.186709447,0.104289585
68450,-0.154083503,0.093422239
68460,-0.114751135,0.115493608
68470,-0.108092122,0.111794756
68480,-0.069522549,0.028686081
68490,-0.076485963,-0.054433523
68500,-0.049436122,-0.088813773
68510,-0.043197807,-0.128373382
68520,-0.062232986,-0.199202416
68530,-0.07569783,-0.156995118
68540,-0.102082197,-0.155942431
68550,-0.141132148,-0.111171753
68560,-0.149468956,-0.11325476
68570,-0.113622675,-0.066675673
68580,-0.048495924,-0.008299593
68590,-0.02265051,0.048548061
68600,-0.010357769,0.126186188
68610,-0.000282551,0.106036017
68620,-0.030862497,0.101644842
68630,-0.093210031,0.107974364
68640,-0.098143422,0.113538339
68650,-0.151605694,0.1187907
68660,-0.177992225,0.142914004
68670,-0.17183596,0.1435882
68680,-0.186862717,0.103393248
68690,-0.202259336,0.11257286
68700,-0.193716049,0.127006759
68710,-0.225494961,0.116021101
68720,-0.23476156,0.068170226
68730,-0.256998135,0.071617413
68740,-0.295990554,0.042924736
68750,-0.34418653,0.016622799
68760,-0.321879695,0.0199526
68770,-0.339198386,0.004882498
68780,-0.323001698,-0.048074335
68790,-0.345922935,-0.030518702
68800,-0.293158552,-0.048792259
68810,-0.267048788,0.006539005
68820,-0.276971018,-0.023072147
68830,-0.266615072,-0.038501684
68840,-0.275597828,-0.042674517
68850,-0.208433578,0.010768384
68860,-0.191461973,0.072183076
68870,-0.150988399,0.111726035
68880,-0.174125096,0.137193889
68890,-0.121036309,0.136133243
68900,-0.013706994,0.096412321
68910,0.043008395,0.08726618
68920,-0.000179412,0.125762852
68930,-0.053917421,0.19450223
68940,-0.007538653,0.20509647
68950,-0.020646634,0.244577049
68960,-0.001084863,0.33751968
68970,0.002023529,0.310936521
68980,-0.0180611,0.299536744
68990,-0.031504463,0.24535272
69000,-0.05720329,0.184748177
69010,-0.056652607,0.166194289
69020,-0.129179449,0.139176922
69030,-0.16905907,0.079066618
69040,-0.169926233,0.053748309
69050,-0.16989297,-0.017124588
69060,-0.191921458,-0.074308563
69070,-0.229760922,-0.092097952
69080,-0.219146623,-0.084958369
69090,-0.130548703,-0.158880344
69100,-0.12303254,-0.203066252
69110,-0.073247398,-0.190130791
69120,-0.087219578,-0.180887812
69130,-0.010040938,-0.161338562
69140,0.057818174,-0.091379519
69150,0.137524924,-0.059996161
69160,0.178049518,-0.084722914
69170,0.145926496,-0.124928373
69180,0.179606071,-0.132591857
69190,0.216630592,-0.115287978
69200,0.164479679,-0.160992236
69210,0.141912003,-0.124194305
69220,0.194352629,-0.106850249
69230,0.180218993,-0.064638465
69240,0.103959153,0.006982096
69250,0.108387861,0.172639014
69260,0.065820176,0.18096184
69270,0.046635329,0.167272838
69280,0.000886831,0.148955143
69290,-0.0935084,0.196120448
69300,-0.14324138,0.142810654
69310,-0.172188959,0.094160367
69320,-0.175813232,0.12677143
69330,-0.140668252,0.157584746
69340,-0.078047619,0.175367036
69350,-0.055429098,0.16860687
69360,-0.046610895,0.182312781
69370,-0.097835456,0.157985362
69380,-0.119825543,0.156471466
69390,-0.109645967,0.141898112
69400,-0.102005392,0.20647035
69410,-0.07985594,0.241680402
69420,-0.121095604,0.220773787
69430,-0.119188874,0.223302892
69440,-0.071690249,0.231521989
69450,-0.01860541,0.160570831
69460,-0.04119845,0.085383584
69470,-0.045351886,0.018808307
69480,-0.11848905,-0.08465953
69490,-0.138880217,-0.08456856
