Time,E_EW (V/km),E_NS (V/km)
1800,0.014553088,0.009175611
1810,-0.00503498,-0.036881002
1820,0.010768944,-0.030757899
1830,-0.007285005,-0.01901903
1840,-0.008142955,-0.031284052
1850,-0.004614805,-0.007271311
1860,-0.003230399,0.019800376
1870,-0.020025615,-0.010151589
1880,-0.016034764,-0.030522712
1890,-0.051086515,-0.005339981
1900,-0.022511075,-0.001725485
1910,-0.011650411,-0.003786184
1920,-0.027839721,0.019054432
1930,-0.02283537,-0.02667661
1940,0.001258984,0.015201006
1950,0.000981791,-0.02435996
1960,-0.002537032,-0.024757074
1970,-0.003720402,0.02539079
1980,-0.021679118,-0.019829442
1990,-7.32E-04,-0.004651184
2000,0.001211396,-0.017353476
2010,-0.001733389,-0.015791872
2020,0.020586213,0.029983741
2030,-0.007977311,0.023893973
2040,-0.010753709,-0.028526953
2050,-0.006795432,-0.025174734
2060,-0.005303812,0.002551989
2070,-0.004528163,-0.031715292
2080,-0.004067227,0.030600137
2090,-0.021262734,-0.012271046
2100,5.18249E-05,-0.017809632
2110,0.002167433,0.006775467
2120,-0.01820467,-0.029018365
2130,-0.015602426,-0.008360845
2140,0.006995046,-0.002489622
2150,-0.011773927,0.037048463
2160,-0.012388855,0.005190636
2170,-0.00853458,-0.002874062
2180,-0.006845119,0.022072782
2190,0.0349575,0.017485663
2200,0.02718952,-0.013232704
2210,0.014691408,0.02898317
2220,-0.014224485,0.02605438
2230,-0.012486004,-0.002188082
2240,0.016417489,-0.003382423
2250,-0.009486204,0.016974423
2260,-0.010955328,0.014257797
2270,-0.006313314,0.00904606
2280,-0.021953789,-0.01087324
2290,-0.058217213,-0.008679167
2300,-0.002888619,-0.004031054
2310,0.004535187,0.015387532
2320,-0.000838867,0.01276646
2330,-0.019901394,-0.009743473
2340,0.000602739,0.026623816
2350,0.002338735,0.023732826
2360,-0.000716892,0.014415375
2370,-0.019297739,0.010264498
2380,-0.016185141,0.007938016
2390,-0.051693546,0.006502561
2400,-0.040859463,-0.011948853
2410,-0.067360792,-0.026521919
2420,-0.028844858,-0.000379119
2430,-0.040123581,0.003715827
2440,-0.034342582,0.001816554
2450,-0.002016461,0.001319248
2460,-0.025439767,-0.016375938
2470,-0.001744589,0.004628185
2480,-0.000502413,-0.034309628
2490,0.01256321,-0.005632565
2500,0.00745268,-0.021968985
2510,-0.016181318,0.004099727
2520,0.019699891,0.00630586
2530,-0.000854143,0.002228123
2540,0.010930765,7.83E-04
2550,-0.008675608,0.000118032
2560,-0.01027101,-0.023540785
2570,-0.007105888,-0.018908719
2580,-0.023393836,-0.029097185
2590,-0.00166361,-0.022159925
2600,-0.040166968,-0.032234854
2610,-0.034527853,-0.024944631
2620,0.000818662,0.000286572
2630,0.001537346,0.000631721
2640,-0.002707762,0.014975922
2650,-0.004110296,-0.024580013
2660,0.012828113,-0.023247357
2670,0.009026562,0.002751307
2680,0.00344442,0.002859359
2690,0.000954684,0.04022815
2700,-0.000382014,0.007272285
2710,-0.00114942,0.021928583
2720,-0.001608444,-0.004948758
2730,-0.00188984,0.015769249
2740,-0.002064173,0.049844617
2750,-0.002171576,0.001609824
2760,-0.002235809,-0.005032119
2770,-0.002271415,-0.000580032
2780,0.015211997,-0.022668152
2790,-0.023386056,0.005905984
2800,-0.004229919,-0.014689563
2810,0.000741218,-0.031393808
2820,-0.001138763,-0.021929596
2830,-0.001679609,0.003694796
2840,-0.042737298,-0.030943732
2850,-0.034444613,0.007983204
2860,-0.039050961,-0.006733316
2870,-0.029557413,-0.009633903
2880,-0.038196752,-0.02402409
2890,-0.030024824,-0.019080335
2900,-0.021713261,0.004757134
2910,-0.034867228,-0.013281505
2920,-0.028587077,-0.013433319
2930,-0.021245519,0.008231374
2940,-0.017429885,0.006543168
2950,-0.015045736,-0.015369026
2960,-0.013419078,0.003939155
2970,-0.012233693,0.004995458
2980,-0.034656227,0.001514136
2990,-0.029132125,0.000147836
3000,0.002195236,-0.000536855
3010,0.001290519,0.039928551
3020,-0.003759694,-0.0269967
3030,-0.028912266,-0.010553448
3040,-0.001561348,0.015860733
3050,0.000723827,0.011823729
3060,0.031627148,0.006445062
3070,0.040487865,-0.013429975
3080,0.007672795,0.006369371
3090,0.017894117,0.0308745
3100,-0.003114981,0.022575041
3110,0.011822256,0.013740679
3120,0.010710755,-0.013750277
3130,0.005883456,0.01201532
3140,0.026943198,-0.027684494
3150,0.020816792,0.016557244
3160,0.012577373,0.01894061
3170,0.026126604,0.010688099
3180,0.020230912,0.007316007
3190,0.013229475,-0.017829842
3200,0.027210893,-0.014119612
3210,0.021492955,-0.007431339
3220,-0.002941435,-0.039539116
3230,0.01464963,-0.013307441
3240,-0.00303844,0.012571745
3250,0.013627399,-0.008457187
3260,-0.021544389,0.007753796
3270,-0.018665039,-0.027275384
3280,0.00792062,0.010919553
3290,-0.009310785,-0.02183121
3300,0.0082788,-0.004013796
3310,0.026352382,0.000771164
3320,0.001520921,0.016407373
3330,0.015524008,-0.005158051
3340,-0.00340346,-0.007248447
3350,-0.004750648,-0.045090841
3360,0.015968398,-0.012224925
3370,0.036873212,-0.02681964
3380,0.003741722,-0.023149753
3390,-0.001126579,0.007743866
3400,0.00158909,0.024126883
3410,0.002250145,-0.025504493
3420,0.025753406,-0.042110989
3430,0.020948535,-0.029020117
3440,-0.027355217,0.021406192
3450,-0.022448147,-0.005549183
3460,0.005975289,-0.010892699
3470,0.007010253,-0.007623851
3480,0.02723925,-0.041337398
3490,-0.002025035,-0.015897688
3500,0.018138242,0.009593331
3510,0.017023285,0.005888918
